,astrocyte,endothelial cell,ependymal cell,fibroblast,microglial cell,mural cell,neuron,oligodendrocyte
0,-3.8215146,-4.137504,-5.0610566,-3.8056529,-3.8113477,-3.9097555,-4.700053,-3.8689513
1,-4.0317554,-4.257851,-4.7078676,-4.1423483,-4.0702834,-4.2184534,-5.4739146,-4.0212984
2,-4.5821104,-4.3276443,-5.2993236,-4.3803535,-4.07432,-4.225842,-5.464899,-4.0454087
3,-3.8220131,-3.9177005,-5.1002774,-3.8056529,-3.8209684,-3.8879342,-4.308564,-4.0159097
4,-4.6060395,-4.612252,-5.0123706,-4.5488987,-4.5892463,-4.5012784,-5.5719914,-4.575112
5,-4.2910795,-4.6178613,-4.8577113,-4.556151,-4.280007,-4.557799,-5.7005544,-4.2884574
6,-4.40159,-4.3975043,-4.823408,-4.619312,-4.0587635,-4.5460305,-5.531713,-4.141117
7,-4.7526617,-4.6774073,-4.8992624,-4.6381454,-4.4317746,-4.5645814,-5.691317,-4.8905926
8,-4.1157284,-4.4323797,-4.809783,-4.2430863,-5.209418,-4.2584605,-5.0336556,-3.993553
9,-3.9796205,-4.1614,-4.5639267,-4.2198753,-3.874881,-3.97094,-5.154935,-3.9565632
10,-4.7791734,-4.6743584,-5.0429006,-4.6307945,-4.446558,-4.605151,-5.5941787,-4.7412233
11,-4.315811,-4.5404143,-5.1502724,-4.296755,-4.4787607,-4.4248405,-5.4250693,-4.10374
12,-3.7967136,-5.098054,-4.2843976,-4.447189,-3.8226156,-4.327518,-3.9489257,-3.8308425
13,-4.230322,-4.1537447,-5.701459,-4.0973854,-3.8504403,-4.2050266,-5.3404016,-3.8830209
14,-4.1020017,-4.3200135,-4.3695664,-4.0191298,-5.4737697,-4.355828,-5.3916607,-3.9433498
15,-3.8388045,-4.8834476,-4.3288703,-3.9636283,-3.8156464,-4.1305747,-4.314606,-3.85879
16,-3.865941,-4.010774,-4.3735876,-4.018801,-3.8853283,-4.0555363,-5.5540113,-3.9017675
17,-4.392545,-4.5755525,-4.8596,-4.5836296,-4.2666326,-4.442288,-5.609192,-4.77696
18,-3.9174087,-4.237697,-4.545044,-4.301907,-5.145273,-4.40983,-4.4536242,-3.9419007
19,-3.9763312,-3.882613,-4.696085,-4.4596267,-5.2539783,-4.5130773,-4.47172,-3.9531357
20,-3.9935246,-4.7941885,-4.3805103,-3.8056529,-3.822215,-4.0303593,-5.0512543,-3.8754199
21,-3.9757879,-3.8673468,-4.401277,-3.8948445,-3.8781514,-3.9183505,-5.4171433,-3.9652631
22,-3.9246633,-4.5913997,-4.730405,-4.232831,-5.70343,-4.322975,-4.5988593,-4.009904
23,-4.1484222,-4.2874804,-4.700782,-4.2741585,-4.163872,-4.3453555,-5.411356,-4.6176186
24,-3.822182,-3.808044,-4.0449266,-3.8056529,-3.8162138,-3.8462152,-5.417382,-3.899554
25,-4.660189,-4.4627995,-4.9220004,-4.358615,-4.1198688,-4.4825773,-5.522271,-4.696152
26,-4.1435814,-4.3454194,-4.602551,-4.201583,-4.1421647,-4.3226004,-5.404484,-4.29632
27,-4.71401,-4.551993,-4.809089,-4.478644,-3.7848296,-4.212779,-5.498145,-5.2610497
28,-4.071202,-4.3062634,-4.9034348,-4.1411023,-3.989032,-4.2868824,-5.565578,-4.352507
29,-4.718659,-4.6759634,-4.953807,-4.6854787,-4.4372196,-4.684876,-5.6020675,-4.7372723
30,-3.9230351,-4.5593724,-4.7279954,-4.3638573,-5.5441713,-4.2296486,-4.6044765,-3.9650173
31,-4.9702287,-4.3767066,-4.6868267,-4.4295583,-4.045668,-4.200193,-5.2192993,-4.6915064
32,-3.9517958,-4.332079,-4.8127027,-4.269141,-4.011955,-4.217568,-5.546824,-4.4748206
33,-4.1108346,-4.32949,-4.4463077,-4.020312,-4.079753,-4.076811,-5.518992,-4.3974934
34,-4.527352,-4.500543,-4.9110875,-4.4005036,-4.173809,-4.367661,-5.509771,-4.1882124
35,-4.487407,-4.423492,-4.7621183,-4.002662,-4.4443874,-4.393645,-5.4619703,-4.1296477
36,-4.228758,-4.56399,-4.8452334,-4.4362116,-4.325135,-4.4917154,-5.524366,-4.2310605
