,astrocyte,endothelial cell,ependymal cell,fibroblast,microglial cell,mural cell,neuron,oligodendrocyte
0,-2.6812317,-1.2970835,1.8309249,-3.1718793,-2.8313203,-2.2508166,-2.0271235,-2.8972738
1,-1.393941,-1.1144314,-0.9641629,-1.3374089,-1.3622242,-1.003865,0.66679347,-1.9797384
2,1.196737,-0.6523214,3.4220326,-0.36490107,-1.3071212,-0.7715487,-0.8052356,-1.9409126
3,-2.5930355,-2.4314885,1.6999968,-3.1718793,-2.8235505,-2.4090621,-2.5549033,-2.1221366
4,1.2092124,1.1161788,1.2236465,0.7807276,1.5266657,0.56847936,1.8294468,0.30424312
5,-0.26961762,0.7307943,0.44526485,0.31139156,-0.3754809,0.8515585,2.5879192,-1.0501543
6,0.04558591,-0.74086785,-0.25975525,0.6288218,-1.379334,0.5183532,0.8081139,-1.5857701
7,1.8997937,1.1293739,0.68121326,0.82133895,0.2923568,0.9960651,2.399449,1.9953858
8,-0.93211275,0.3239686,-0.090010576,-1.0358969,4.2137694,-0.043851044,-1.5898112,-2.1223664
9,-1.5128359,-1.4274188,-1.3655512,-1.1551793,-2.170924,-1.9011765,-0.95590985,-2.3006277
10,1.9370003,0.8734169,1.2251371,0.8470607,0.29522246,0.861593,1.8082968,1.0657881
11,0.19713883,0.11034708,4.084514,-0.8791412,1.1958131,0.08666557,-0.06290662,-1.7057298
12,-2.9385831,3.2788455,-2.025963,0.10225336,-2.8150966,-0.63114494,-3.2516062,-3.0635579
13,-0.15499198,-0.9328833,4.0341725,-1.5411574,-2.297946,-0.21795551,0.7944875,-2.6758745
14,-0.37273756,-0.8080892,-1.6413168,-1.8650854,4.6808686,0.31533113,-1.0054799,-2.290821
15,-2.545333,2.5630906,-1.8651835,-2.1550293,-2.740313,-1.054849,-2.5804033,-2.9174051
16,-2.2595618,-1.9772584,-1.7570255,-1.8239663,-2.1918488,-1.5762571,-0.0030005178,-2.6311557
17,0.28186774,0.3989623,0.32186568,0.3841438,-0.49951163,0.4066449,2.4798934,1.3614513
18,-1.7760351,1.3202534,-0.29514122,-0.49832365,3.9243968,0.45561728,-2.3536372,-2.4271932
19,-1.558355,1.4164499,-0.065761104,-0.12637691,4.2229824,0.75628835,-2.3324418,-2.3470633
20,-1.6014144,2.1903858,-1.7704751,-3.1718793,-2.8193822,-1.6756133,-1.5880084,-2.8051686
21,-1.6276022,-2.7696736,-1.6277673,-1.8198084,-2.2340302,-2.254318,-0.14705391,-2.3494828
22,-1.8363578,1.4389161,-0.04971078,-0.8291959,4.6065845,0.27496094,-2.15726,-2.067705
23,-0.902653,-0.8150523,-0.7695947,-0.98967206,-0.9478744,-0.6218397,0.78189933,1.4555902
24,-2.7323074,-3.178449,-2.6282477,-3.1718793,-2.882393,-2.6451373,-0.89942706,-2.6334708
25,1.408462,-0.22590455,0.5721367,-0.6519641,-0.9832613,0.12374492,1.2197893,0.8500213
26,-0.9281759,-0.070513025,-0.016680613,-0.7209346,-0.939492,-0.54699737,0.9868903,-1.0547266
27,2.4673803,1.2778732,1.117104,2.9344485,-0.23915058,1.2642908,3.575136,3.9828057
28,-1.2514595,-0.91031885,-0.0011706757,-1.362898,-1.5404264,-0.61194825,1.6799555,-0.7942516
29,1.8392427,1.4536453,1.2921255,1.1395314,0.6371762,1.6066012,2.248887,1.1391592
30,-1.8493122,0.5007509,-0.6078516,-0.26594573,4.8283362,0.07196812,-2.1510482,-2.2581542
31,3.2195332,0.16216707,0.7403167,0.10025508,-1.1277419,0.3684015,2.2916296,1.9595731
32,-1.657153,-0.88837326,-0.6698065,-1.0104507,-1.606329,-0.9639104,1.5333381,-0.4184992
33,-1.0765111,-0.77720094,-1.5420012,-1.8349365,-1.2456163,-1.1120064,0.65239775,-0.72105867
34,0.7509607,0.058093604,0.51840013,-0.41723073,-0.92283624,-0.4949717,1.4771016,-1.4234431
35,0.93887377,3.7291667,0.2239703,-1.1610606,0.50682527,0.6459223,-0.8483237,-1.5139189
36,-0.734672,0.39809626,0.08365786,-0.085326076,-0.4826617,0.30731636,1.06011,-1.2974851
37,0.3830046,-0.51755214,0.5248238,-0.84912145,-0.85034776,-0.34051073,1.7244709,0.16224332
38,2.070076,4.4927363,1.6796438,-0.2057319,0.31019846,1.6988671,-0.46184498,0.95750713
39,-0.71953744,-0.8874622,2.911083,-2.5744846,-1.8163271,-0.69874,-0.44028324,-1.6630048
40,-1.9445218,3.8768928,-1.4324466,-2.6008184,-2.1380303,-0.45123088,-2.4538887,-0.98958045
41,1.3096452,2.2589834,1.3557054,0.07643066,-0.14020047,1.4445059,0.56723976,-0.39855406
42,-2.5150027,-1.7483985,-1.2580392,-1.8111753,-2.0538704,-2.6421125,0.15768072,-2.6869755
43,-1.9112272,0.2922428,-0.7888474,2.312721,-1.5271318,1.8493118,1.8477614,-2.335769
44,-1.693923,-1.2761034,-2.1654012,0.7697487,-2.170742,-0.20722313,0.55256903,-2.688801
45,-2.3084204,1.2228832,-1.5551085,-0.71266615,3.7669532,-0.51934546,-2.6943736,-2.8169034
46,-0.7009652,0.06666551,0.11963208,0.46853745,2.4095602,0.57695395,2.7631466,1.2221107
47,-0.547088,-0.9816174,-1.1150488,-0.63225496,-2.0369124,-1.5922447,1.0471898,-2.1641445
48,0.2871499,0.22318776,0.04028287,-0.4417462,-0.290605,-0.17226987,1.819795,-0.93033737
49,0.008243243,-0.9398933,1.27238,1.3736666,-1.7598234,-0.39456266,1.5045438,-1.0653851
50,0.32688886,-0.09796193,2.368309,-2.1329713,-2.6671197,-1.4167452,-2.138834,-2.8632858
51,4.245058,2.7832859,2.0164783,3.3568091,2.8227081,2.9696727,2.5861182,3.539593
52,-2.794823,-2.7810783,-3.2498424,-3.1718793,-2.942058,-2.9083517,-1.2455727,-2.6204648
53,-1.0447229,-0.4354439,1.0532268,-0.52319187,-1.2040893,0.3606911,1.6665529,-1.5538187
54,1.742746,-0.23958805,3.279387,-1.844134,-2.7313824,-0.98634154,-2.0875251,-2.7048225
55,4.585487,0.76809543,1.3212616,0.64228433,-1.1660388,0.67620873,0.21126492,0.3763454
56,-1.0587893,-1.1880318,1.6794885,-2.5896547,-2.4085176,-2.6318588,-1.8054479,-2.4748032
57,0.38046566,-0.30946118,0.28535336,0.32530493,-0.21995036,0.05525646,1.8111117,-0.92485595
58,3.150117,1.9851874,1.7852864,1.970927,1.4701397,2.0383523,3.8091652,4.1404576
59,-2.2649276,-1.5542207,0.7328812,-1.3499496,-2.1964974,-0.89312434,0.45549884,-2.369256
60,4.760002,2.6041176,3.9506638,2.9916286,1.176148,3.1988547,2.9816918,4.2923245
61,-1.9004483,-2.4660132,-1.9862844,-2.1684296,-2.7366393,-2.0742514,0.2147677,-2.6066134
62,-2.656908,-3.178449,-1.9775425,-2.1416206,-2.7267444,-3.1658301,-0.37830523,-2.9458485
63,-0.79667795,-0.059958797,3.291485,-0.34821612,-1.0115062,-0.20680073,2.576256,-0.30986306
64,-2.6250377,-2.7515774,-2.620698,-3.1718793,-2.8046134,-2.4401586,-1.1843643,-3.037036
65,0.39698824,0.49375954,2.3325686,0.21768856,-0.8016693,0.6598713,2.0149925,2.178011
66,0.50350237,-0.13154405,1.1179966,-0.155367,-1.0176346,0.0992038,2.1071644,-1.3359452
67,0.8343954,2.117952,0.9011242,0.99106085,0.5842261,1.2198726,1.8074409,1.176795
68,-2.5277061,-0.89901817,-1.5157921,3.9273672,-2.486904,-1.1051332,-0.25773138,-2.7162318
69,-2.2678065,4.238582,-0.9492989,-0.7448061,-1.6561066,0.47783625,-0.28139105,-2.4762514
70,0.5044777,3.116687,2.400868,2.5887933,0.24984778,3.3798044,2.8015604,-0.795473
71,-2.1059904,0.35356387,2.3038878,2.215314,-2.785857,-0.72356987,-1.8139843,-2.8924177
72,-0.31787843,0.45049205,0.32038912,0.6537716,-0.41726613,0.46406657,2.9010422,-0.2561558
73,0.28700832,-1.7635807,1.1579516,-1.178172,-2.0947635,-1.21624,1.3414147,-1.2770131
74,-1.2052858,-0.12069541,-0.5956091,-0.8878716,-1.2546518,-0.260746,2.6091518,1.5275538
75,-0.6220981,1.8801833,0.512582,0.15596369,-0.45895186,1.1055448,3.4560332,1.2280532
76,-1.9282581,-0.9304341,2.1069992,-1.8238262,-2.2040718,-2.6252515,-1.4174753,-2.6955523
77,-1.7019053,-1.7493778,-1.1216843,-0.6200823,-2.5159311,-2.0638452,0.37278235,-2.7314525
78,-3.0500057,-3.178449,-3.2498424,-3.1718793,-3.0353065,-3.1658301,-2.7715347,-3.088941
79,-0.68306386,0.116279036,0.03630469,0.34377834,-0.4552835,0.40836823,3.3534112,0.034636285
80,-2.387972,-2.1445382,-1.3917074,-1.8405211,-2.4505591,-1.7978069,0.30913347,-2.2787526
81,-0.7964132,1.4999137,0.2716633,0.40710127,-0.5276345,2.1650271,1.9713691,-1.592429
82,-1.9752748,0.5638855,-0.824602,-0.27663973,4.8645625,0.38077548,-2.1764088,-2.345546
83,-0.6424856,0.0026236456,-0.124735296,-1.1056944,-0.69159657,-0.810428,-2.9962692,-2.9020236
84,0.53769225,0.5098385,2.9897585,-0.8828185,-2.6840274,-0.7375724,-1.3258176,-2.6723027
85,-1.9215368,-0.29424784,-1.663507,-0.8893771,3.8767405,-0.2928385,-2.2276294,-0.710138
86,-2.5304656,-1.4594291,-2.0453434,-3.1718793,2.0754602,-1.9391338,-3.179866,-2.900306
87,3.3878891,1.0201545,1.790408,0.837285,-0.3116155,1.3718054,2.923284,2.3472955
88,-2.3690398,0.52531,-2.1712353,-0.46006596,-2.0675256,2.7994385,-2.22929,-2.1015086
89,-1.5125833,-0.5969916,0.39583346,0.9504148,-1.668041,-0.21278344,0.9714208,-2.1809218
90,1.7055893,1.2323598,4.542855,1.6407708,-1.0462874,0.53586906,1.211833,-1.6163735
91,-2.425761,-0.9886534,-2.3906295,-1.8473417,2.9408908,-1.0345181,-2.801433,-2.8534167
92,1.0488652,1.3880843,1.1973437,0.96352327,0.7235214,1.4158252,2.6814134,1.4659857
93,0.5732676,0.44029355,-0.07944646,0.32229948,-0.04843686,0.46355954,1.9013145,0.22308852
94,-1.5816854,-0.7907453,-0.8972249,-1.5625353,-1.6770496,-1.5828764,1.4436057,-1.253413
95,-1.0366745,-2.7583776,1.1044596,-3.1718793,-2.7082036,-2.218942,-2.4784465,-2.9275448
96,-1.9690932,1.3572828,-0.8350707,0.94798815,0.19376133,2.1249175,-2.9142766,-2.4818861
97,0.24339002,3.6928134,-0.8928004,0.0032347557,-0.3874683,0.3768451,-2.4265506,-2.5526454
98,-1.7167033,-1.0140519,-1.538715,-2.136086,-2.0543802,-1.0502114,0.010712996,-2.2804244
99,-1.7623206,-0.97496074,-1.7652333,-1.821348,-1.8122234,-0.98410493,0.10184694,-2.1560814
100,-0.46264428,-0.796158,-0.8924522,-1.3402321,-1.1961688,-1.055806,0.53333247,-1.4144584
101,0.3696698,1.4964292,0.60204244,1.6355954,-0.23195253,1.7338976,1.6502346,-0.1034802
102,-2.9284892,-1.9480667,1.9260476,-1.1214043,-3.0568714,-1.9366997,-2.588877,-3.1009417
103,-3.0895038,-3.178449,-3.2498424,-3.1718793,-3.0478063,-2.8780005,-3.200293,-3.1466186
104,2.5701928,1.1243087,1.9588275,0.3692663,3.882439e-05,1.0312394,2.3107545,0.72438234
105,-0.9796051,0.22181466,-0.44589314,-1.0420712,-2.2511353,-0.02376233,-0.42757523,-2.5270648
